Vj/a_0  ,theta0,theta120,theta130,theta135,theta140,theta150,theta160,theta165,theta170,theta180
0,0,120,130,135,140,150,160,165,170,180
0,1,1,1,1,1,1,1,1,1,1
0.4,1,1,1,1,1,1,1,1,1,1
1.4,1,1,1,1,1,1,1,1,1,1
1.5,1,1,1,1,1,1,0.995,0.98,0.93,0.83
1.6,1,1,1,1,1,1,0.885,0.84,0.74,0.54
1.7,1,1,1,1,1,0.965,0.76,0.68,0.6,0.44
1.8,1,1,1,1,0.99,0.87,0.66,0.58,0.51,0.37
1.9,1,1,1,1,0.95,0.775,0.59,0.51,0.44,0.3
2,1,1,1,0.981,0.9,0.71,0.54,0.45,0.39,0.27
2.1,1,1,1,0.955,0.86,0.66,0.5,0.41,0.35,0.23
2.2,1,1,1,0.92,0.83,0.63,0.47,0.38,0.32,0.2
2.3,1,1,0.985,0.895,0.81,0.61,0.445,0.36,0.3,0.18
2.4,1,1,0.97,0.88,0.795,0.595,0.43,0.35,0.28,0.14
2.5,1,1,0.955,0.87,0.79,0.59,0.42,0.34,0.27,0.13