t_s [s],x [m],y [m],z [m],alpha [deg],gamma [deg],F_n [N],tau [-],v [m/s],M_0 [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],theta_flaps [deg],I_lg [-],jet_V [m/s],jet_A [m2],jet_rho [kg/m3],jet_Tt [K],jet_M [-],core_mdot [kg/s],core_Pt_i [Pa],core_Tt_i [K],core_Tt_j [K],turb_DTt_des [K],turb_rho_i [kg/m3],turb_c_i [m/s],turb_rho_e [kg/m3],turb_c_e [m/s],fan_DTt [K],fan_mdot [kg/s],fan_N [rpm]
64.27,5109.107855,0,570.0385511,12.77999998,10.841368,58302.97928,0.9,106.7021937,0.31018632,343.9938784,294.5042029,94963.47661,1.12352622,1.82E-05,386.1579616,10,0,431.7242657,0.579425971,0.763870022,522.3375813,1,34.13659,2187375.721,781.6141543,1685.99998,797.3112283,0,0,0,0,70.09200028,180.701297,8693.009439
64.96,5181.594083,0,583.886942,12.75240002,10.8030347,57989.10441,0.89632,106.7582746,0.310400373,343.9373279,294.4073809,94916.2312,1.12333656,1.82E-05,385.5973371,10,0,431.0109115,0.579441237,0.764217531,521.5500836,1,34.05696789,2180084.864,780.5121388,1682.882101,797.0491023,0,0,0,0,69.85227716,180.3680975,8678.628624
65.96,5286.585458,0,603.4535251,12.02190398,10.31086402,51663.05406,0.8,106.842074,0.3107,343.87536,294.3013023,94478.76088,1.118562089,1.82E-05,384.8052228,10,0,410.9267218,0.578919722,0.777872444,503.212735,1,32.11420064,2003269.891,758.1744553,1614.481368,796.7619158,0,0,0,0,64.15772231,172.4015026,8335.069152
66.96,5391.897223,0,621.6525235,11.078032,9.308960013,45151.9235,0.7004048,106.9262781,0.311,343.8144,294.196968,94429.25026,1.11837243,1.82E-05,384.0697156,10,0,387.3808223,0.578470614,0.795027448,484.691224,1,29.90157201,1825660.162,736.4509349,1549.79568,796.4794513,0,0,0,0,58.27269063,163.5900867,7992.884158
67.96,5497.6301,0,637.7504502,10.62747203,8.024352004,39550.03288,0.6142752,107.0104455,0.3113,343.75344,294.092652,94379.75975,1.11818277,1.82E-05,383.4196822,10,0,364.7296203,0.578179708,0.809600603,469.0501135,1,27.75853234,1671999.78,717.4290242,1494.031953,796.1970368,0,0,0,0,53.13151612,156.3701253,7697.406674
68.96,5603.727615,0,651.8524001,11.38190403,7.099935979,39288.05075,0.611,107.0933117,0.31159632,343.69248,293.9883546,93943.44684,1.113408299,1.81E-05,382.8502468,10,0,363.9015975,0.578205745,0.806482088,468.3528473,1,27.55396714,1658755.961,716.7327879,1491.413741,795.9146724,0,0,0,0,52.91790382,155.4043746,7685.125837
69.96,5710.098328,0,664.4857018,11.96969599,6.44552,39241.88843,0.611,107.1446574,0.3118,343.6326417,293.8859942,93894.73828,1.11321864,1.81E-05,382.3401148,10,0,363.9400659,0.57824344,0.806036126,468.2474728,1,27.54447673,1658087.182,716.4940539,1491.166718,795.6375521,0,0,0,0,52.89947896,155.3508488,7683.977951
70.96,5816.62705,0,676.0477167,12.286688,5.944784009,39199.44387,0.611,107.2031744,0.312,343.5999183,293.8300247,93876.85634,1.11321864,1.81E-05,381.8743725,10,0,363.9766579,0.578264055,0.806233104,468.1898424,1,27.54185373,1657959.159,716.3576,1490.893545,795.4860257,0,0,0,0,52.88940443,155.3360551,7683.432902
71.96,5923.335287,0,686.8127651,12.50852799,5.57257601,39159.69553,0.611,107.253563,0.3122,343.5412017,293.72961,93828.78631,1.11302898,1.81E-05,381.4418996,10,0,364.0137285,0.578301044,0.805666298,468.0864253,1,27.5324557,1657297.85,716.1127892,1490.384041,795.2141731,0,0,0,0,52.8713298,155.2830501,7682.306717
72.96,6030.166565,0,696.938855,12.68815999,5.272575985,39122.30865,0.611,107.3123989,0.3124,343.5096,293.6755732,93409.11018,1.108254509,1.81E-05,381.0350966,10,0,364.0183872,0.578320952,0.802319618,468.0307609,1,27.41183032,1650071.916,715.9810475,1490.109859,795.0678793,0,0,0,0,52.86160317,154.602723,7681.786666
73.96,6137.090405,0,706.6032584,12.81889598,5.041840023,39086.70652,0.611,107.3715728,0.3126,343.47912,293.6234592,93376.55042,1.10806485,1.81E-05,380.6468407,10,0,364.0535192,0.578340153,0.80228205,467.9770691,1,27.40470717,1649683.516,715.8539934,1489.845432,794.926791,0,0,0,0,52.85222265,154.5625484,7681.291657
74.96,6244.104564,0,715.873665,12.91926401,4.861471988,39052.44431,0.611,107.4307345,0.3128,343.44864,293.5713497,93359.97887,1.10806485,1.81E-05,380.2744136,10,0,364.0899032,0.578359001,0.80234935,467.9244546,1,27.40227531,1649574.03,715.7269507,1489.591832,794.7857152,0,0,0,0,52.84284296,154.5488327,7680.796615
75.96,6351.180803,0,724.8663867,12.99926402,4.72110399,39019.22003,0.611,107.489884,0.313,343.41816,293.5192449,93343.4088,1.10806485,1.81E-05,379.9131418,10,0,364.126275,0.578369308,0.802403938,467.8979481,1,27.39984344,1649381.468,715.5999192,1489.599366,794.644652,0,0,0,0,52.83346409,154.535117,7680.30154
76.96,6458.293184,0,733.6146933,13.05967918,4.611217226,38986.76845,0.611,107.5459445,0.31319264,343.3859257,293.4641464,93284.91385,1.107578373,1.81E-05,379.5620955,10,0,364.1582468,0.578389261,0.802037638,467.8422311,1,27.38524336,1648524.128,715.4655889,1489.330543,794.4954836,0,0,0,0,52.82354635,154.4527725,7679.76033
77.35,6499.93402,0,736.9470813,13.07881539,4.58282692,38974.6441,0.611,107.5446481,0.3132105,343.3622058,293.4236052,92995.84046,1.104298563,1.81E-05,379.4287936,10,0,364.1428297,0.578404204,0.799418908,467.7973529,1,27.30226507,1643432.245,715.3667496,1489.124797,794.3857265,0,0,0,0,52.81624895,153.984775,7679.246508
78.35,6607.09184,0,745.4702388,13.11790001,4.527900023,38944.08826,0.611,107.5678661,0.3133105,343.32672,293.3629585,92859.78318,1.10291106,1.81E-05,379.0879236,10,0,364.1666515,0.578426559,0.798318955,467.7147251,1,27.26514064,1641120.697,715.2188928,1488.817014,794.2215375,0,0,0,0,52.80533253,153.7753932,7678.546208
79.35,6714.35096,0,753.9099984,13.14105003,4.461049995,38913.09083,0.611,107.6197664,0.3134895,343.29624,293.3108722,92843.29602,1.10291106,1.81E-05,378.750389,10,0,364.1993762,0.57844576,0.798320113,467.6811055,1,27.26272008,1640995.507,715.0919064,1488.552676,794.0805243,0,0,0,0,52.79595699,153.7617413,7678.031461
80.35,6821.646961,0,762.2342388,13.16894999,4.402099983,38882.49968,0.611,107.6517464,0.3136105,343.26576,293.2587906,92826.81034,1.10291106,1.81E-05,378.4174745,10,0,364.2085754,0.578464961,0.798318955,467.6304671,1,27.26029953,1640816.445,714.9649313,1488.288362,793.9395236,0,0,0,0,52.78658229,153.7480894,7677.462656
81.35,6929.0216,0,770.4638388,13.18999999,4.360000006,38852.13465,0.611,107.7036266,0.3137895,343.23528,293.2067135,92810.32611,1.10291106,1.81E-05,378.0883448,10,0,364.2376749,0.578484162,0.798309084,467.5767458,1,27.25787897,1640691.198,714.8379675,1488.054857,793.7985355,0,0,0,0,52.77720843,153.7344374,7676.947855
82.35,7036.436321,0,778.6051992,13.20894999,4.321050009,38822.15217,0.611,107.7355902,0.3139105,343.2048,293.1546411,92748.31489,1.102369912,1.81E-05,377.7627443,10,0,364.2468577,0.578503364,0.79790521,467.5230213,1,27.2420856,1639707.188,714.7417954,1488.022175,793.6575598,0,0,0,0,52.7678354,153.6453628,7676.379005
83.35,7143.9056,0,786.6855996,13.22000001,4.289999988,38792.3491,0.611,107.7874503,0.3140895,343.17432,293.1025733,92389.34741,1.098298418,1.81E-05,377.4395815,10,0,364.275937,0.578522565,0.794937416,467.4692939,1,27.13905946,1633526.322,714.8463986,1487.788662,793.5165967,0,0,0,0,52.7584632,153.0642953,7675.86413
84.35,7251.411761,0,794.7323196,13.23000001,4.261049995,38762.70986,0.611,107.8193973,0.3142105,343.14384,293.0505102,92327.42014,1.09775727,1.81E-05,377.1183269,10,0,364.2851034,0.578540758,0.794523779,467.4155634,1,27.12327798,1632543.136,714.7501942,1487.52439,793.3756461,0,0,0,0,52.74909183,152.9752878,7675.295088
85.35,7358.97248,0,802.7453592,13.24,4.239999978,38733.32047,0.611,107.8712374,0.3143895,343.11336,292.9984516,92311.01877,1.09775727,1.81E-05,376.7996778,10,0,364.3141627,0.578552375,0.794500671,467.3618299,1,27.12086873,1632418.361,714.6232235,1487.26014,793.2347081,0,0,0,0,52.73972129,152.9616996,7674.780158
86.35,7466.570081,0,810.7038396,13.24895,4.221049972,38703.97779,0.611,107.9031679,0.3145105,343.08288,292.9463977,92294.61885,1.09775727,1.81E-05,376.4832375,10,0,364.3233124,0.578570568,0.794468892,467.3080934,1,27.11845949,1632240.024,714.496264,1486.995914,793.0937825,0,0,0,0,52.73035159,152.9481115,7674.211219
87.35,7574.22224,0,818.6286396,13.25000001,4.208950014,38674.76781,0.611,107.95859,0.3147,343.0524,292.8943484,92278.22039,1.09775727,1.81E-05,376.1681357,10,0,364.3559538,0.578588761,0.794437111,467.2543537,1,27.11605024,1632124.882,714.3693158,1486.731713,792.9528695,0,0,0,0,52.72098271,152.9345233,7673.706028
88.35,7681.90808,0,826.52616,13.25105001,4.190000014,38645.69054,0.611,108.0140006,0.3148895,343.02192,292.8423037,92216.34346,1.097216122,1.81E-05,375.8541185,10,0,364.3885836,0.578600378,0.794021241,467.2006112,1,27.1002753,1631205.204,714.2423789,1486.498282,792.8119689,0,0,0,0,52.71161468,152.8455527,7673.200807
89.35,7789.627601,0,834.4172796,13.25895,4.171050007,38616.6444,0.611,108.0459048,0.3150105,342.99144,292.7902637,91857.82666,1.093144628,1.81E-05,375.5403559,10,0,364.3977071,0.578618571,0.791043185,467.1468655,1,26.99731408,1624974.577,714.1154532,1486.465424,792.671081,0,0,0,0,52.70224747,152.2648514,7672.631796
90.35,7897.404881,0,842.2811196,13.26000001,4.159999995,38587.73097,0.611,108.0976932,0.3151895,342.96096,292.7382283,91796.0336,1.09260348,1.81E-05,375.2276781,10,0,364.4267147,0.578637772,0.790618804,467.0931168,1,26.98155104,1624045.787,713.9885389,1486.231985,792.5302055,0,0,0,0,52.6928811,152.2137215,7672.116746
91.35,8005.23672,0,850.11768,13.26000001,4.149999991,38558.96582,0.611,108.1259802,0.3153,342.93048,292.6861975,91779.71793,1.09260348,1.81E-05,374.9160849,10,0,364.4322209,0.578656973,0.790586026,467.0393651,1,26.9791531,1623858.549,713.8616358,1485.967825,792.3893425,0,0,0,0,52.68351555,152.4843736,7671.5379
92.35,8113.084561,0,857.9478396,13.26000001,4.141050006,38530.33337,0.611,108.1542603,0.3154105,342.9,292.6341714,91763.40372,1.09260348,1.81E-05,374.6055588,10,0,364.4377202,0.578675166,0.7905521,466.9856104,1,26.97675517,1623671.3,713.7347439,1485.703688,792.2484921,0,0,0,0,52.67415085,152.5085892,7670.958907
93.35,8221.00464,0,865.7507196,13.26000001,4.137899993,38501.73205,0.611,108.2060201,0.3155895,342.86952,292.5821498,91747.09095,1.09260348,1.81E-05,374.2967126,10,0,364.4666994,0.578686783,0.790510691,466.9318526,1,26.97435724,1623546.887,713.6078634,1485.439575,792.1076542,0,0,0,0,52.66478696,152.4950329,7670.443759
94.35,8328.940721,0,873.52632,13.26105001,4.121049986,38473.24787,0.611,108.2378845,0.3157105,342.83904,292.5301329,91685.34817,1.092062332,1.81E-05,373.988946,10,0,364.475783,0.578704976,0.790085259,466.8780918,1,26.95860074,1622565.223,713.4809941,1485.175485,791.9668288,0,0,0,0,52.65542392,152.4059562,7669.87464
95.35,8436.931361,0,881.29872,13.26895,4.109999991,38444.79484,0.611,108.2896244,0.3158895,342.80856,292.4781206,91327.28179,1.087990838,1.81E-05,373.681306,10,0,364.5047421,0.578723169,0.787105836,466.8243281,1,26.85570444,1616391.942,713.3541361,1484.942127,791.8260159,0,0,0,0,52.64606171,151.8242491,7669.359457
96.35,8544.97976,0,889.0679196,13.27000001,4.099999986,38416.45894,0.611,108.3214722,0.3160105,342.77808,292.426113,91265.62284,1.08744969,1.81E-05,373.373792,10,0,364.5138092,0.578734786,0.786671981,466.7705612,1,26.83995983,1615411.106,713.2272894,1484.909095,791.6852155,0,0,0,0,52.63670033,151.7352396,7668.790294
97.35,8653.06184,0,896.8098396,13.27000001,4.089999982,38388.1386,0.611,108.373192,0.3161895,342.7476,292.3741099,91249.39279,1.08744969,1.81E-05,373.0673588,10,0,364.5427482,0.578752979,0.786629624,466.7167914,1,26.83757321,1615287.169,713.100454,1484.67573,791.5444277,0,0,0,0,52.62733978,151.7217473,7668.275056
98.35,8761.177601,0,904.52448,13.27000001,4.080000018,38359.83384,0.611,108.4050234,0.3163105,342.71712,292.3221115,91233.16419,1.08744969,1.81E-05,372.7620049,10,0,364.5517989,0.578771172,0.786594717,466.6630185,1,26.83518659,1615110.284,713.0043229,1484.411682,791.4036524,0,0,0,0,52.61798007,151.7082549,7667.705848
99.35,8869.34792,0,912.23592,13.27000001,4.070000014,38331.64621,0.611,108.4567231,0.3164895,342.68664,292.2701177,91216.93703,1.08744969,1.81E-05,372.4567772,10,0,364.5807178,0.578782789,0.786552361,466.6092426,1,26.83279996,1614986.29,713.1083969,1484.147657,791.2628896,0,0,0,0,52.60862118,151.6947625,7667.190537
100.35,8977.55192,0,919.9441596,13.27000001,4.061050012,38303.47415,0.611,108.4885379,0.3166105,342.65616,292.2181285,91200.7113,1.08744969,1.81E-05,372.1516769,10,0,364.589752,0.578800982,0.786510004,466.5554637,1,26.83041334,1614809.37,713.0122336,1483.883657,791.1221393,0,0,0,0,52.59926313,151.6812701,7666.621156
101.35,9085.952096,0,927.6370155,13.27000001,4.058018854,38275.2639,0.611,108.5444218,0.316798811,342.6288804,292.171602,91100.58076,1.086428724,1.81E-05,371.8471856,10,0,364.625247,0.578816265,0.785803664,466.5073291,1,26.80308948,1613207.975,712.8987091,1483.647395,790.9961782,0,0,0,0,52.59088837,151.5267992,7666.186183
101.88,9143.858861,0,931.7383472,13.27000001,4.053544764,38260.30596,0.611,108.5713013,0.316882792,342.6229002,292.1614031,90825.22551,1.083182764,1.81E-05,371.6848502,10,0,364.6476569,0.578813986,0.783646252,466.4967768,1,26.72254251,1608408.249,712.8738236,1483.595605,790.9685665,0,0,0,0,52.58905255,151.0714403,7666.130503
102.88,9252.29822,0,939.4517802,13.26908801,4.066352022,38232.94934,0.611,108.5746678,0.31691824,342.5952,292.114164,90736.18711,1.0822959,1.81E-05,371.3795436,10,0,364.6303202,0.578829784,0.783020425,466.4478969,1,26.69850436,1606855.412,712.7585602,1483.382365,790.8406763,0,0,0,0,52.58054953,150.9355447,7665.543686
103.88,9360.62692,0,947.1327402,13.260912,4.050912014,38204.88546,0.611,108.6241483,0.31709088,342.56472,292.0621887,90720.0426,1.0822959,1.81E-05,371.0755228,10,0,364.65702,0.578848109,0.782985982,466.394109,1,26.69612905,1606651.953,712.6317405,1483.357219,790.6999636,0,0,0,0,52.57119397,150.9221162,7665.022354
104.88,9469.01102,0,954.786,13.26091201,4.039088001,38176.86167,0.611,108.6549847,0.31720912,342.53424,292.0102181,90703.89952,1.0822959,1.81E-05,370.7725987,10,0,364.6650757,0.578859461,0.782943677,466.340318,1,26.69375374,1606465.036,712.504932,1483.119897,790.5592634,0,0,0,0,52.56183925,150.9086878,7664.450445
105.88,9577.42838,0,962.4337002,13.26908801,4.020912001,38148.97264,0.611,108.7075695,0.31739088,342.50376,291.958252,90687.75788,1.0822959,1.81E-05,370.4698941,10,0,364.6948797,0.578877787,0.782900385,466.286524,1,26.69137843,1606343.984,712.3781349,1482.855962,790.4185757,0,0,0,0,52.55248536,150.8952594,7663.937556
106.88,9685.879,0,970.05648,13.27000001,4.010000004,38121.11065,0.611,108.7383896,0.31750912,342.47328,291.9062906,90671.61769,1.0822959,1.81E-05,370.168176,10,0,364.7029191,0.578896112,0.78285808,466.2327271,1,26.68900312,1606165.304,712.251349,1482.592049,790.2779005,0,0,0,0,52.54313231,150.8818309,7663.365602
107.88,9794.38502,0,977.6737002,13.27000001,4,38093.36989,0.611,108.7909542,0.31769088,342.4428,291.8543338,90616.10937,1.081825874,1.81E-05,369.8666784,10,0,364.7327029,0.578907464,0.78248367,466.1789271,1,26.6750383,1605346.72,712.1245744,1482.328162,790.1372379,0,0,0,0,52.53378008,150.8028832,7662.852641
108.88,9902.92708,0,985.266,13.27000001,3.990911998,38065.65617,0.611,108.8217579,0.31780912,342.41232,291.8023816,90247.09171,1.077612136,1.81E-05,369.5661672,10,0,364.7407259,0.578924914,0.779392778,466.1277853,1,26.5687736,1598915.935,711.9978111,1482.064296,789.9965877,0,0,0,0,52.52442869,150.2021334,7662.280508
109.88,10011.52454,0,992.8527402,13.27000001,3.989087989,38038.07721,0.611,108.8743023,0.31799088,342.38184,291.7504341,90191.66662,1.07714211,1.81E-05,369.2658754,10,0,364.7704896,0.578936266,0.779000928,466.0978322,1,26.55482062,1598097.914,711.8710591,1481.827062,789.8559502,0,0,0,0,52.51507813,150.1232526,7661.767626
110.88,10120.15526,0,1000.41178,13.26544,3.980911994,38010.63299,0.611,108.9019675,0.3181,342.35136,291.6984911,90175.609,1.07714211,1.81E-05,368.9666807,10,0,364.7753739,0.578953716,0.778956859,466.0440188,1,26.55245662,1597911.79,711.7443184,1481.80173,789.715325,0,0,0,0,52.5057284,150.1098881,7661.186977
111.88,10228.81924,0,1007.9459,13.227296,3.978175982,37983.18878,0.611,108.9296258,0.31820912,342.32088,291.6465528,90159.5528,1.07714211,1.81E-05,368.6684714,10,0,364.7802515,0.578965068,0.778913774,465.9690169,1,26.55009262,1597725.657,711.6175889,1481.564489,789.5747125,0,0,0,0,52.49637951,150.0965236,7660.606426
112.88,10337.53862,0,1015.496601,13.249088,3.959999974,37955.65039,0.611,108.9852631,0.3184,342.2904,291.5946191,90143.49804,1.07714211,1.81E-05,368.3696069,10,0,364.813108,0.578982518,0.778869706,465.9363821,1,26.54772862,1597613.214,711.4908707,1481.300666,789.4341124,0,0,0,0,52.48703145,150.0831591,7660.101818
113.88,10446.29126,0,1023.00024,13.26817601,3.941824027,37928.35445,0.611,109.0417745,0.31859088,342.2626998,291.5474258,90089.58034,1.076672084,1.81E-05,368.0726048,10,0,364.8457949,0.578992118,0.778534912,465.8901274,1,26.56625741,1596829.587,711.375719,1481.060923,789.3063458,0,0,0,0,52.47853664,150.0055284,7659.659391
114.88,10555.07716,0,1030.49832,13.27000001,3.939088025,37901.19326,0.611,109.0773505,0.3187,342.2571402,291.5379543,89734.08423,1.072458346,1.81E-05,367.7758221,10,0,364.8492329,0.57899387,0.775952609,465.8803098,1,26.74993506,1590626.362,711.3526085,1481.012808,789.2807037,0,0,0,0,52.47683178,149.4160293,7659.636489
115.88,10663.91846,0,1037.99362,13.27000001,3.930000014,37873.93789,0.611,109.1058664,0.31880912,342.22944,291.4907656,89680.23781,1.07198832,1.81E-05,367.47915,10,0,364.8539269,0.57900347,0.775625451,465.8313924,1,26.76821396,1589769.754,711.2640516,1480.77309,789.1529498,0,0,0,0,52.46833782,149.3384568,7659.117937
116.88,10772.79302,0,1045.464,13.26544,3.921824013,37846.79023,0.611,109.1583471,0.31899088,342.19896,291.4388459,89664.26413,1.07198832,1.81E-05,367.1834641,10,0,364.88363,0.57902092,0.77557283,465.7775632,1,26.7658299,1589649.56,711.3756417,1480.535916,789.0123874,0,0,0,0,52.45899225,149.3251563,7658.604747
117.88,10881.70084,0,1052.9316,13.227296,3.927264012,37819.65609,0.611,109.1890824,0.31910912,342.16848,291.3869307,89648.29187,1.07198832,1.81E-05,366.8878889,10,0,364.8915875,0.579032272,0.775520208,465.7237311,1,26.76344584,1589472.389,711.2754978,1480.510418,788.8718374,0,0,0,0,52.44964752,149.3118557,7658.032563
118.88,10990.66406,0,1060.393641,13.249088,3.91000001,37792.53547,0.611,109.2415428,0.31929088,342.138,291.3350202,89632.32103,1.07198832,1.81E-05,366.5925328,10,0,364.9212702,0.579049722,0.775475373,465.6698959,1,26.76106178,1589352.141,711.1487841,1480.273237,788.7313,0,0,0,0,52.44030362,149.2985552,7657.519335
119.88,11099.66332,0,1067.80862,13.26817601,3.891824006,37765.53607,0.611,109.2722617,0.31940912,342.10752,291.2831142,89577.05912,1.071518294,1.81E-05,366.2990402,10,0,364.9292114,0.579060198,0.775083738,465.6160578,1,26.74694519,1588478.152,711.0220818,1480.009503,788.590775,0,0,0,0,52.43096055,149.2197995,7656.947107
120.88,11208.7152,0,1075.24018,13.26544,3.890000006,37738.55021,0.611,109.324702,0.31959088,342.07704,291.2312129,89208.90153,1.067304556,1.81E-05,366.0048906,10,0,364.958874,0.579070675,0.771991092,465.5622167,1,26.63938963,1582111.705,710.8953906,1479.745792,788.4502626,0,0,0,0,52.42161832,148.6197527,7656.433807
121.88,11317.7782,0,1082.6496,13.227296,3.888176001,37711.56434,0.611,109.3522851,0.3197,342.04656,291.1793162,89153.72274,1.06683453,1.81E-05,365.7116177,10,0,364.9636794,0.579088124,0.771598742,465.5083726,1,26.62528504,1581230.426,710.7687109,1479.482105,788.3097627,0,0,0,0,52.41227692,148.5410639,7655.852918
122.88,11426.8966,0,1090.05346,13.249088,3.870911994,37684.60551,0.611,109.3798614,0.31980912,342.01608,291.1274241,89137.83436,1.06683453,1.81E-05,365.4185649,10,0,364.9653588,0.579099476,0.7715454,465.4545255,1,26.62291244,1581045.896,710.6420423,1479.218442,788.1692754,0,0,0,0,52.40293634,148.5278273,7655.272145
123.88,11536.07318,0,1097.42962,13.26908802,3.859999997,37657.90267,0.611,109.4322729,0.31999088,341.9856,291.0755367,89121.94739,1.06683453,1.81E-05,365.1266082,10,0,364.9701511,0.579116926,0.771492059,465.4006754,1,26.62053984,1580926.096,710.5153851,1478.954802,788.0288005,0,0,0,0,52.39359661,148.546535,7654.758783
124.88,11645.28302,0,1104.78086,13.27452801,3.850911995,37631.37515,0.611,109.4629523,0.32010912,341.95512,291.0236539,89106.06182,1.06683453,1.81E-05,364.8356378,10,0,364.9997762,0.579127403,0.771438717,465.3468223,1,26.61816724,1580749.662,710.3887392,1478.717726,787.8883382,0,0,0,0,52.3842577,148.8196503,7654.186449
125.88,11754.52334,0,1112.15146,13.236384,3.849087986,37605.07656,0.611,109.5153436,0.32029088,341.92464,290.9717757,89090.17768,1.06683453,1.80E-05,364.5439019,10,0,365.0045531,0.579137879,0.771385375,465.2929663,1,26.61579465,1580629.806,710.2621045,1478.692026,787.7478884,0,0,0,0,52.37491963,148.8383253,7653.673033
126.88,11863.79692,0,1119.49714,13.25000001,3.839999988,37578.58961,0.611,109.5468974,0.32040912,341.8969398,290.9246328,89036.49905,1.066364504,1.80E-05,364.2531514,10,0,365.0091728,0.579153577,0.771048602,465.2466726,1,26.6019131,1579782.716,710.1470286,1478.478984,787.6202583,0,0,0,0,52.3664339,148.7606982,7653.162878
127.88,11973.12868,0,1126.81512,13.263616,3.831823989,37552.31806,0.611,109.6072584,0.32059088,341.8913802,290.9151714,88681.78721,1.062150766,1.80E-05,363.9634983,10,0,365.0374266,0.579149231,0.768452312,465.2579805,1,26.49636479,1573650.199,710.1239334,1478.430901,787.5946436,0,0,0,0,52.36473086,148.1704611,7653.207233
128.88,12082.51584,0,1134.13032,13.227296,3.837263987,37526.07356,0.611,109.635682,0.3207,341.86368,290.8680332,88628.17977,1.06168074,1.80E-05,363.6739543,10,0,365.0451552,0.579164929,0.768115398,465.1878982,1,26.48249366,1572795.677,710.0088691,1478.191345,787.4670263,0,0,0,0,52.35624598,148.0928922,7652.688431
129.88,12150.33933,0,1138.665744,13.23859998,3.827599974,37509.80198,0.611,109.6508161,0.320762,341.8447824,290.8358767,88618.3816,1.06168074,1.80E-05,363.494437,10,0,365.0642474,0.579171757,0.768082486,465.1518494,1,26.48102976,1572676.743,709.930375,1478.027925,787.379969,0,0,0,0,52.3504578,148.0847059,7652.323017