t source [s],f50,f63,f80,f100,f125,f160,f200,f250,f315,f400,f500,f630,f800,f1000,f1250,f1600,f2000,f2500,f3150,f4000,f5000,f6300,f8000,f10000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4.253571429,4.531428571,4.808571429,5.069571429,5.339857143,5.653285714,5.958285714,6.288714286,6.668428571,7.097428571,7.528714286,8.021571429,8.574428571,9.114142857,9.689142858,10.36871428,11.01585714,11.68214286,12.39985714,13.149,13.85114286,14.56857143,15.299,15.94785714
30.5,4.58121532,4.966451346,5.383461698,5.792589234,6.241288199,6.774980124,7.315110559,7.904898137,8.574257143,9.318781781,10.04907205,10.85580083,11.71812381,12.52985962,13.31245383,14.16878219,14.92274907,15.6463002,16.35740414,17.03826377,17.6297234,18.18195445,18.68716232,19.08161284
31,4.943043478,5.436956522,5.977391304,6.524347826,7.111304348,7.819565217,8.513043478,9.256521739,10.08,10.95043478,11.77782609,12.66043478,13.57,14.42130435,15.17826087,15.96565217,16.62826087,17.2526087,17.84217391,18.39347826,18.85478261,19.27608696,19.53521739,19.61173913
31.5,5.323142858,5.908285714,6.559714286,7.215714286,7.911714286,8.743142858,9.543714286,10.378,11.28685714,12.20857143,13.07485714,13.97485714,14.88942858,15.73314286,16.47228572,17.17171428,17.752,18.28142858,18.77085714,19.22028572,19.46028572,19.63857143,19.73,19.73
32,5.633380281,6.283521127,7.016197183,7.748873239,8.521549296,9.434225352,10.29929578,11.18943662,12.14197183,13.08450705,13.96197183,14.85943662,15.76690141,16.59183098,17.3243662,17.95169014,18.46647888,18.92633803,19.34366197,19.67028169,19.73,19.73,19.73,19.73
32.5,5.804444668,6.482778672,7.249410463,8.016042253,8.822674044,9.769305835,10.64847284,11.56552113,12.52510463,13.47383099,14.34467606,15.23509256,16.13550905,16.9471992,17.68678269,18.27972233,18.75393562,19.18603018,19.56811268,19.72323944,19.73,19.73,19.73,19.73
33,5.907285714,6.614142857,7.397571429,8.181,9.004428572,9.967857143,10.86128572,11.788,12.75471429,13.698,14.568,15.45128572,16.34457143,17.15457143,17.90128572,18.47114286,18.92771429,19.33757143,19.684,19.73,19.73,19.73,19.73,19.73
33.5,5.996285715,6.720142857,7.521714286,8.319428572,9.157142857,10.131,11.03871428,11.96871428,12.93485714,13.87871428,14.74485715,15.62485715,16.51485715,17.31714286,18.071,18.62714286,19.06942857,19.45785715,19.73,19.73,19.73,19.73,19.73,19.73
34,6.08051509,6.812764588,7.634442656,8.445138833,9.297102616,10.27808451,11.19751308,12.13004829,13.09033401,14.03878069,14.8990664,15.7790664,16.66653119,17.45710262,18.21554929,18.76710262,19.19387123,19.56346076,19.73,19.73,19.73,19.73,19.73,19.73
34.5,6.156560563,6.902675211,7.736719859,8.556847183,9.420891831,10.40894916,11.33101916,12.2729938,13.2329938,14.17700648,15.03700648,15.91493648,16.79296183,17.58089183,18.33283451,18.89089183,19.29878986,19.64210253,19.73,19.73,19.73,19.73,19.73,19.73
35,6.230222535,6.990548451,7.834304366,8.666037324,9.539793239,10.5349562,11.4615262,12.40871211,13.36871211,14.31011916,15.17011916,16.04354916,16.91636324,17.69979324,18.44463028,19.00979324,19.40087437,19.69658141,19.73,19.73,19.73,19.73,19.73,19.73
35.5,6.302750704,7.074255775,7.928830845,8.770335915,9.651865915,10.65414099,11.58567099,12.53641606,13.49337099,14.43181606,15.29107099,16.16109592,17.02879592,17.80882085,18.54729085,19.12261099,19.49880592,19.72692,19.73,19.73,19.73,19.73,19.73,19.73
36,6.373947887,7.153072676,8.019767464,8.868892253,9.755922253,10.76531704,11.70234704,12.65471183,13.60504704,14.54011183,15.39774704,16.26565226,17.12835226,17.90625747,18.63922747,19.22828704,19.59186226,19.72892,19.73,19.73,19.73,19.73,19.73,19.73
36.5,6.443320805,7.229823743,8.104618108,8.961121046,9.852829618,10.86933255,11.81104112,12.76412692,13.70762398,14.64241835,15.49762398,16.36282962,17.22112105,17.99632668,18.72461811,19.32933255,19.66232676,19.73,19.73,19.73,19.73,19.73,19.73,19.73
37,6.510552193,7.304149698,8.182324346,9.045921851,9.941344708,10.96494221,11.91036507,12.86311686,13.79951936,14.73769401,15.58951936,16.45134471,17.30592186,18.07774721,18.80232434,19.42494221,19.70627042,19.73,19.73,19.73,19.73,19.73,19.73,19.73
37.5,6.57357,7.374317143,8.256617143,9.126937143,10.02538429,11.05383143,12.00142429,12.95570429,13.88538429,14.82308429,15.67308429,16.53265714,17.38463715,18.15191,18.87389,19.51800429,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
38,6.631641429,7.439602857,8.326902857,9.203508572,10.10417,11.13483143,12.08278143,13.04077572,13.96417,14.89687,15.74687,16.60551428,17.45620857,18.21755286,18.93824714,19.60807572,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
38.5,6.686,7.49973,8.391142857,9.271142857,10.17487286,11.20719,12.15487286,13.11346,14.03204715,14.96204715,15.81204715,16.66831714,17.51690428,18.27458714,18.99317429,19.66650572,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
39,6.736,7.553801429,8.448285714,9.328285714,10.23608715,11.26940429,12.21608715,13.17160286,14.08711857,15.01711857,15.86711857,16.71931714,17.56483286,18.32151571,19.03703143,19.68779143,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
39.5,6.781251176,7.601251176,8.498145882,9.378145882,10.28814589,11.32111588,12.26814589,13.21868059,14.13381529,15.06165059,15.91151529,16.76151529,17.6044853,18.35921529,19.07191471,19.67536764,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
40,6.820927647,7.640927647,8.539456807,9.419456807,10.32945681,11.36049824,12.30945681,13.25276882,14.17068084,15.09381025,15.94338084,16.79338084,17.63442227,18.38608084,19.09626344,19.62337185,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
40.5,6.852229412,7.671011765,8.569476471,9.448258824,10.35704118,11.38704118,12.33582353,13.27185294,14.19031765,15.11185294,15.96031765,16.81031765,17.65031765,18.40031765,19.09507058,19.56701765,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
41,6.8737,7.689835294,8.586241177,9.462376471,10.36851176,11.39851176,12.34464706,13.27332353,14.18972941,15.11332353,15.95972941,16.80972941,17.64972941,18.39972941,19.06389411,19.50554706,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
41.5,6.886376471,7.6977,8.589476471,9.4608,10.36442353,11.39212353,12.33574706,13.25937059,14.17344706,15.09937059,15.94344706,16.79344706,17.63574706,18.38574706,19.01093529,19.44191176,19.7208,19.73,19.73,19.73,19.73,19.73,19.73,19.73
42,6.888729412,7.6927,8.576829412,9.4408,10.34207059,11.36477059,12.30604118,13.22731177,14.13874118,15.06731177,15.90874118,16.75874118,17.60604118,18.35604118,18.93240588,19.37573529,19.7008,19.73,19.73,19.73,19.73,19.73,19.73,19.73
42.5,6.879701493,7.675135821,8.550570149,9.408304478,10.30487164,11.32143881,12.26030597,13.17457313,14.08457313,15.01457313,15.85687313,16.70800597,17.55800597,18.30350895,18.83967463,19.2965403,19.65227313,19.73,19.73,19.73,19.73,19.73,19.73,19.73
43,6.857313433,7.642822388,8.508331343,9.361140299,10.25024478,11.25934926,12.19575373,13.09755821,14.00755821,14.93755821,15.78485821,16.63845373,17.48845373,18.22418059,18.73027164,19.20206269,19.57025821,19.73,19.73,19.73,19.73,19.73,19.73,19.73
43.5,6.825622388,7.598837313,8.452052239,9.295267164,10.17457463,11.17618209,12.10778955,12.99939702,13.90939702,14.83939702,15.68939702,16.54548955,17.39778955,18.10743433,18.6042194,19.09330448,19.47629702,19.7139,19.73,19.73,19.73,19.73,19.73,19.73
44,6.783010448,7.541150746,8.379291045,9.207431343,10.07420149,11.06827164,11.99234179,12.87641194,13.78641194,14.71641194,15.56641194,16.42504179,17.28234179,17.94676269,18.45862239,18.96778209,19.36831194,19.6789,19.73,19.73,19.73,19.73,19.73,19.73
44.5,6.72018125,7.45810625,8.27603125,9.08625625,9.93676875,10.9182875,11.82980625,12.7062125,13.61491875,14.5462125,15.3985125,16.26210625,17.1156375,17.75031875,18.2811,18.810875,19.23165625,19.5924375,19.71835625,19.73,19.73,19.73,19.73,19.73
45,6.63361875,7.34529375,8.13696875,8.92594375,9.75583125,10.7189125,11.61199375,12.4805875,13.38648125,14.3205875,15.1778875,16.04929375,16.8887625,17.51188125,18.0661,18.617125,19.06134375,19.4455625,19.69304375,19.73,19.73,19.73,19.73,19.73
