t_source [s],X [m],Y [m],Z [m],V [m/s],M_0 [-],F_n [N],TS [-],c_0 [m/s],T_0 [K],p_0 [Pa],rho_0 [kg/m3],mu_0 [kg/ms],I_0 [kg/m2s],alpha [deg],gamma [deg],Airframe LG [-],Airframe delta_f [deg],Airframe delta_s [deg]
32.5,-2920.4316834744154,0.0,153.05333907872762,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
33.0,-2875.886189374022,0.0,150.7188086558602,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
33.5,-2831.340695273628,0.0,148.38427823299273,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
34.0,-2786.795201173235,0.0,146.04974781012533,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
34.5,-2742.2497070728414,0.0,143.71521738725787,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
35.0,-2697.7042129724473,0.0,141.38068696439043,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
35.5,-2653.1587188720537,0.0,139.04615654152298,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
36.0,-2608.61322477166,0.0,136.71162611865554,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
36.5,-2564.0677306712664,0.0,134.37709569578809,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
37.0,-2519.522236570873,0.0,132.04256527292065,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
37.5,-2474.9767424704796,0.0,129.70803485005322,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
38.0,-2430.431248370086,0.0,127.3735044271858,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
38.5,-2385.8857542696924,0.0,125.03897400431833,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
39.0,-2341.3402601692987,0.0,122.7044435814509,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
39.5,-2296.794766068905,0.0,120.36991315858344,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
40.0,-2252.2492719685115,0.0,118.03538273571598,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
40.5,-2207.7037778681174,0.0,115.70085231284855,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
41.0,-2163.1582837677242,0.0,113.36632188998112,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
41.5,-2118.6127896673306,0.0,111.03179146711369,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
42.0,-2074.067295566937,0.0,108.69726104424623,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
42.5,-2029.5218014665434,0.0,106.3627306213788,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
43.0,-1984.9763073661497,0.0,104.02820019851134,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
43.5,-1940.4308132657561,0.0,101.69366977564391,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
44.0,-1895.8853191653625,0.0,99.35913935277645,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
44.5,-1851.3398250649693,0.0,97.02460892990905,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
45.0,-1806.7943309645757,0.0,94.69007850704159,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
45.5,-1762.248836864182,0.0,92.35554808417416,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
46.0,-1717.703342763788,0.0,90.02101766130667,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
46.5,-1673.1578486633944,0.0,87.68648723843927,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
47.0,-1628.6123545630016,0.0,85.35195681557184,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
47.5,-1584.066860462607,0.0,83.01742639270438,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
48.0,-1539.5213663622144,0.0,80.68289596983695,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
48.5,-1494.9758722618199,0.0,78.34836554696949,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
49.0,-1450.4303781614262,0.0,76.01383512410206,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
49.5,-1405.8848840610326,0.0,73.67930470123457,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
50.0,-1361.339389960639,0.0,71.34477427836717,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
50.5,-1316.7938958602463,0.0,69.01024385549974,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
51.0,-1272.2484017598517,0.0,66.67571343263228,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
51.5,-1227.702907659459,0.0,64.34118300976485,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
52.0,-1183.1574135590645,0.0,62.00665258689739,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
52.5,-1138.6119194586718,0.0,59.67212216402996,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
53.0,-1094.0664253582772,0.0,57.3375917411625,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
53.5,-1049.5209312578845,0.0,55.00306131829507,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
54.0,-1004.9754371574909,0.0,52.66853089542764,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
54.5,-960.4299430570964,0.0,50.33400047256018,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
55.0,-915.8844489567036,0.0,47.999470049692775,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
55.5,-871.3389548563091,0.0,45.66493962682529,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
56.0,-826.7934607559164,0.0,43.330409203957856,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
56.5,-782.2479666555219,0.0,40.995878781090425,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
57.0,-737.7024725551291,0.0,38.661348358222995,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
57.5,-693.1569784547355,0.0,36.326817935355564,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
58.0,-648.6114843543419,0.0,33.992287512488076,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
58.5,-604.0659902539483,0.0,31.657757089620645,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
59.0,-559.5204961535546,0.0,29.323226666753214,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
59.5,-514.975002053161,0.0,26.988696243885784,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
60.0,-470.42950795276647,0.0,24.654165821018296,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
60.5,-425.88401385237376,0.0,22.319635398150865,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
61.0,-381.33851975198013,0.0,19.985104975283434,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
61.5,-336.7930256515865,0.0,17.650574552416003,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
62.0,-292.2475315511929,0.0,15.316044129548573,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
62.5,-247.70203745079925,0.0,12.981513706681085,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
63.0,-203.15654335040563,0.0,10.646983283813654,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
63.5,-158.611049250012,0.0,8.312452860946223,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
64.0,-114.06555514961838,0.0,5.977922438078792,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
64.5,-69.52006104922566,0.0,3.6433920152113615,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
65.0,-24.974566948831125,0.0,1.3088615923438738,89.21325186189539,0.2577215777690941,33995.573936730376,0.47496016085156045,346.16136,296.2191226,97834.26355,1.150789769,1.83e-05,397.0,16.041704779257902,-3.0,1.0,20.0,20.0
