f,d0,d10,d20,d30,d40,d50,d60,d70,d80,d90,d100,d110,d120,d130,d140,d150,d160,d170,d180
Angle,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
50,0.020893,0.020893,0.020893,0.020893,0.020893,0.020893,0.020893,0.020893,0.020893,0.063096,0.14454,0.25119,0.43652,1,1.7378,3.9811,9.1201,15.849,22.5779
63,0.02884,0.02884,0.02884,0.02884,0.02884,0.02884,0.02884,0.02884,0.02884,0.079433,0.16982,0.28184,0.46774,1,1.6596,3.5481,7.5858,12.589,17.5922
80,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.1,0.19953,0.31623,0.50119,1,1.5849,3.1623,6.3096,10,13.6904
100,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
125,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.15849,0.27542,0.39811,0.57544,1,1.4454,2.5119,4.3652,6.3096,8.254
160,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.15849,0.27542,0.39811,0.57544,1,1.4454,2.5119,4.3652,6.3096,8.254
200,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
250,0.046774,0.046774,0.046774,0.046774,0.046774,0.046774,0.046774,0.046774,0.046774,0.1122,0.21627,0.33497,0.5188,1,1.5488,2.9854,5.7544,8.9125,12.0706
315,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
400,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
500,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
630,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.1,0.19953,0.31623,0.50119,1,1.5849,3.1623,6.3096,10,13.6904
800,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.1,0.19953,0.31623,0.50119,1,1.5849,3.1623,6.3096,10,13.6904
1000,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.039811,0.1,0.19953,0.31623,0.50119,1,1.5849,3.1623,6.3096,10,13.6904
1250,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
1600,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
2000,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
2500,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
3150,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
4000,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
5000,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
6300,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
8000,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.054954,0.12589,0.23442,0.35481,0.53703,1,1.5136,2.8184,5.2481,7.9433,10.6385
10000,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.075858,0.15849,0.27542,0.39811,0.57544,1,1.4454,2.5119,4.3652,6.3096,8.254