f,d0,d10,d20,d30,d40,d50,d60,d70,d80,d90,d100,d110,d120,d130,d140,d150,d160,d170,d180
0,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
50,0,0,0.1065245,0.213049,0.3195735,0.426098,0.5326225,0.639147,0.7456715,0.852196,0.854072,0.855948,0.857824,0.8597,0.861576,0.863452,0.865328,0.867204,0.867204
63,0,0,0.1011065,0.202213,0.3033195,0.404426,0.5055325,0.606639,0.7077455,0.808852,0.811311625,0.81377125,0.816230875,0.8186905,0.821150125,0.82360975,0.826069375,0.828529,0.828529
80,0,0,0.094565125,0.18913025,0.283695375,0.3782605,0.472825625,0.56739075,0.661955875,0.756521,0.7597125,0.762904,0.7660955,0.769287,0.7724785,0.77567,0.7788615,0.782053,0.782053
100,0,0,0.08764825,0.1752965,0.26294475,0.350593,0.43824125,0.5258895,0.61353775,0.701186,0.7051885,0.709191,0.7131935,0.717196,0.7211985,0.725201,0.7292035,0.733206,0.733206
125,0,0,0.08007,0.16014,0.24021,0.32028,0.40035,0.48042,0.56049,0.64056,0.64550025,0.6504405,0.65538075,0.660321,0.66526125,0.6702015,0.67514175,0.680082,0.680082
160,0,0,0.071130375,0.14226075,0.213391125,0.2845215,0.355651875,0.42678225,0.497912625,0.569043,0.575165125,0.58128725,0.587409375,0.5935315,0.599653625,0.60577575,0.611897875,0.61802,0.61802
200,0,0,0.062799375,0.12559875,0.188398125,0.2511975,0.313996875,0.37679625,0.439595625,0.502395,0.509704,0.517013,0.524322,0.531631,0.53894,0.546249,0.553558,0.560867,0.560867
250,0,0,0.0545055,0.109011,0.1635165,0.218022,0.2725275,0.327033,0.3815385,0.436044,0.44463325,0.4532225,0.46181175,0.470401,0.47899025,0.4875795,0.49616875,0.504758,0.504758
315,0,0,0.046244875,0.09248975,0.138734625,0.1849795,0.231224375,0.27746925,0.323714125,0.369959,0.37994725,0.3899355,0.39992375,0.409912,0.41990025,0.4298885,0.43987675,0.449865,0.449865
400,0,0,0.038346875,0.07669375,0.115040625,0.1533875,0.191734375,0.23008125,0.268428125,0.306775,0.318262625,0.32975025,0.341237875,0.3527255,0.364213125,0.37570075,0.387188375,0.398676,0.398676
500,0,0,0.03176575,0.0635315,0.09529725,0.127063,0.15882875,0.1905945,0.22236025,0.254126,0.267052875,0.27997975,0.292906625,0.3058335,0.318760375,0.33168725,0.344614125,0.357541,0.357541
630,0,0,0.02589325,0.0517865,0.07767975,0.103573,0.12946625,0.1553595,0.18125275,0.207146,0.221619,0.236092,0.250565,0.265038,0.279511,0.293984,0.308457,0.32293,0.32293
800,0,0,0.020883875,0.04176775,0.062651625,0.0835355,0.104419375,0.12530325,0.146187125,0.167071,0.183259875,0.19944875,0.215637625,0.2318265,0.248015375,0.26420425,0.280393125,0.296582,0.296582
1000,0,0,0.017154875,0.03430975,0.051464625,0.0686195,0.085774375,0.10292925,0.120084125,0.137239,0.155239125,0.17323925,0.191239375,0.2092395,0.227239625,0.24523975,0.263239875,0.28124,0.28124
1250,0,0,0.0142725,0.028545,0.0428175,0.05709,0.0713625,0.085635,0.0999075,0.11418,0.134338375,0.15449675,0.174655125,0.1948135,0.214971875,0.23513025,0.255288625,0.275447,0.275447
1600,0,0,0.011958875,0.02391775,0.035876625,0.0478355,0.059794375,0.07175325,0.083712125,0.095671,0.118853375,0.14203575,0.165218125,0.1884005,0.211582875,0.23476525,0.257947625,0.28113,0.28113
2000,0,0,0.010559375,0.02111875,0.031678125,0.0422375,0.052796875,0.06335625,0.073915625,0.084475,0.11122325,0.1379715,0.16471975,0.191468,0.21821625,0.2449645,0.27171275,0.298461,0.298461
2500,0,0,0.0097445,0.019489,0.0292335,0.038978,0.0487225,0.058467,0.0682115,0.077956,0.10932675,0.1406975,0.17206825,0.203439,0.23480975,0.2661805,0.29755125,0.328922,0.328922
3150,0,0,0.009482938,0.018965875,0.028448813,0.03793175,0.047414688,0.056897625,0.066380563,0.0758635,0.113373438,0.150883375,0.188393313,0.22590325,0.263413188,0.300923125,0.338433063,0.375943,0.375943
4000,0,0,0.009860738,0.019721475,0.029582213,0.03944295,0.049303688,0.059164425,0.069025163,0.0788859,0.124283663,0.169681425,0.215079188,0.26047695,0.305874713,0.351272475,0.396670238,0.442068,0.442068
5000,0,0,0.010907388,0.021814775,0.032722163,0.04362955,0.054536938,0.065444325,0.076351713,0.0872591,0.141213713,0.195168325,0.249122938,0.30307755,0.357032163,0.410986775,0.464941388,0.518896,0.518896
6300,0,0,0.012897375,0.02579475,0.038692125,0.0515895,0.064486875,0.07738425,0.090281625,0.103179,0.166483875,0.22978875,0.293093625,0.3563985,0.419703375,0.48300825,0.546313125,0.609618,0.609618
8000,0,0,0.01626425,0.0325285,0.04879275,0.065057,0.08132125,0.0975855,0.11384975,0.130114,0.202251875,0.27438975,0.346527625,0.4186655,0.490803375,0.56294125,0.635079125,0.707217,0.707217
10000,0,0,0.021036375,0.04207275,0.063109125,0.0841455,0.105181875,0.12621825,0.147254625,0.168291,0.2463375,0.324384,0.4024305,0.480477,0.5585235,0.63657,0.7146165,0.792663,0.792663